InstructorName,InstructorProfile,Designation,Email,WebLink,Facebook,Twitter,Instagram,Linkedin,Youtube,PhoneNo,Platform,CourseName,CourseLink,Rating,CurrentPrice,OriginalPrice,Discount,Duration
Rana W Mehmood,https://www.udemy.com/user/rana-w-mehmood/,SAP Functional Consultant,,,,,,https://linkedin.com//in/rana-w-mehmood-92b63049/,,,udemy,SAP FICO (Financial Accounting & Management Accounting),https://www.udemy.com/course/sap-fico-training-course/,4.2,$19.99,$199.99,90%,41
Mohammed Rashid,https://www.udemy.com/user/mohammed-rashid-25/,SAP FICO Freelancer,,https://www.diligenttechies.in/,,,,,,,udemy,SAP FICO Electronic Bank Reconciliation Scratch To Advance,https://www.udemy.com/course/sapficoebs/,4.5,$10.99,$194.99,94%,3
Rana W Mehmood,https://www.udemy.com/user/rana-w-mehmood/,SAP Functional Consultant,,,,,,https://linkedin.com//in/rana-w-mehmood-92b63049/,,,udemy,SAP S/4HANA Finance Training (vs SAP FICO),https://www.udemy.com/course/sap-s4hana-finance-training-fico/,4.3,$11.39,$154.99,93%,4.5
Mohammed Rashid,https://www.udemy.com/user/mohammed-rashid-25/,SAP FICO Freelancer,,https://www.diligenttechies.in/,,,,,,,udemy,SAP FICO -For Beginners To Consultant with Material - 2020,https://www.udemy.com/course/sap_fico_with_material/,4.4,$18.99,$194.99,90%,21.5
SAP Training Now & OJAYO SAP education university,https://www.udemy.com/user/jaydhruv/,"OJAYO SAP Training Now, SAP Consulting, SAP services",,http://www.ojayo.com/,https://www.facebook.com/jay.ojayo.9,https://twitter.com/ojayosap,,,,,udemy,SAP FICO for everyone,https://www.udemy.com/course/sap-fico-for-everyone/,4.0,$18.99,$39.99,53%,19
Dhruv Bais,https://www.udemy.com/user/548657673a1b6/,Master Programmer and Machine Learning Robot,,http://www.skillshost.com/,,,,,,,udemy,SAP FICO For Beginners - A Guide to SAP Financial Accounts,https://www.udemy.com/course/sap-fico-for-sap-beginners/,3.9,$18.99,$199.99,90%,5
Mohammed Rashid,https://www.udemy.com/user/mohammed-rashid-25/,SAP FICO Freelancer,,https://www.diligenttechies.in/,,,,,,,udemy,SAP FICO- APP-DMEE From Scratch to Advance,https://www.udemy.com/course/sap_app_dmee/,4.2,$10.99,$194.99,94%,3
Mohammed Rashid,https://www.udemy.com/user/mohammed-rashid-25/,SAP FICO Freelancer,,https://www.diligenttechies.in/,,,,,,,udemy,SAP FICO-APP IDOC Config and End to End Testing,https://www.udemy.com/course/sapappidoc/,3.8,$19.99,$194.99,90%,33
Delta ERP Consulting,https://www.udemy.com/user/abdul-hanan-4/,"SAP Training, Consulting and Placement Services",,http://www.deltaerpconsulting.com/,,,,,,,udemy,"IDoc Trouble Shoot,Processing and Re-Processing for SAP FICO",https://www.udemy.com/course/idoc-trouble-shootprocessing-and-re-processing-for-sap-fico/,3.6,$11.39,$49.99,77%,3
Uplatz Training,https://www.udemy.com/user/uplatz/,Fastest growing Global IT Training Provider,,https://training.uplatz.com/,https://www.facebook.com/UplatzGlobal/,https://twitter.com/Uplatz_Global,,https://linkedin.com/company/uplatz/,https://www.youtube.com/channel/UCmV-T7lTMIf1pIWqo2yKMQw,,udemy,SAP FICO (Finance and Controlling) Training,https://www.udemy.com/course/sap-fico-finance-and-controlling-training/,4.2,$11.99,$49.99,76%,24.5
Baruch Toledano,https://www.udemy.com/user/baruch-toledano-3/,Sap Consultant,,,,,,,,,udemy,Sap Financial and Management accounting+Bests Tips&Tricks,https://www.udemy.com/course/sap-fico-x/,4.2,$11.99,$194.99,94%,10.5
Rana W Mehmood,https://www.udemy.com/user/rana-w-mehmood/,SAP Functional Consultant,,,,,,https://linkedin.com//in/rana-w-mehmood-92b63049/,,,udemy,SAP FICO (Financial Accounting & Management Accounting),https://www.udemy.com/course/sap-fico-training-course/,4.2,$11.99,$199.99,94%,41
Delta ERP Consulting,https://www.udemy.com/user/abdul-hanan-4/,"SAP Training, Consulting and Placement Services",,http://www.deltaerpconsulting.com/,,,,,,,udemy,Mastering SAP Financial and Controlling (SAP FICO) - Part-I,https://www.udemy.com/course/sap-ficosap-enterprise-structureclassicnew-gl-accounting/,3.7,$10.99,$99.99,89%,11.5
SAP Training Now & OJAYO SAP education university,https://www.udemy.com/user/jaydhruv/,"OJAYO SAP Training Now, SAP Consulting, SAP services",,http://www.ojayo.com/,https://www.facebook.com/jay.ojayo.9,https://twitter.com/ojayosap,,,,,udemy,SAP - SAP FICO Training - A step by step conceptual approach,https://www.udemy.com/course/sap-fico-training/,3.6,$19.99,$39.99,50%,5
Mohammed Rashid,https://www.udemy.com/user/mohammed-rashid-25/,SAP FICO Freelancer,,https://www.diligenttechies.in/,,,,,,,udemy,SAP FICO -For Beginners To Consultant with Material - 2020,https://www.udemy.com/course/sap_fico_with_material/,4.4,$10.99,$194.99,94%,21.5
Veer Tutorial,https://www.udemy.com/user/naveen-bhardwaj/,Ultimate Destination for All Computer Course,,http://www.veertutorial.com/,https://www.facebook.com/virbhardwaj702,,,,https://www.youtube.com/https://www.youtube.com/channel/UCbrl7ZdS7Ju6zCmE7xSt5Nw,,udemy,Become SAP FICO Consultant with Easy Learning,https://www.udemy.com/course/become-sap-fico-consultant-with-easy-learning/,3.3,$11.99,$29.99,60%,4
Rana W Mehmood,https://www.udemy.com/user/rana-w-mehmood/,SAP Functional Consultant,,,,,,https://linkedin.com//in/rana-w-mehmood-92b63049/,,,udemy,SAP S/4HANA Finance Training (vs SAP FICO),https://www.udemy.com/course/sap-s4hana-finance-training-fico/,4.3,$19.99,$154.99,87%,4.5
Dhruv Bais,https://www.udemy.com/user/548657673a1b6/,Master Programmer and Machine Learning Robot,,http://www.skillshost.com/,,,,,,,udemy,SAP FICO For Beginners - A Guide to SAP Financial Accounts,https://www.udemy.com/course/sap-fico-for-sap-beginners/,3.9,$19.99,$199.99,90%,5
SAP Training Now & OJAYO SAP education university,https://www.udemy.com/user/jaydhruv/,"OJAYO SAP Training Now, SAP Consulting, SAP services",,http://www.ojayo.com/,https://www.facebook.com/jay.ojayo.9,https://twitter.com/ojayosap,,,,,udemy,SAP FICO for everyone,https://www.udemy.com/course/sap-fico-for-everyone/,4.0,$18.99,$39.99,53%,19
Mohammed Rashid,https://www.udemy.com/user/mohammed-rashid-25/,SAP FICO Freelancer,,https://www.diligenttechies.in/,,,,,,,udemy,SAP FICO Electronic Bank Reconciliation Scratch To Advance,https://www.udemy.com/course/sapficoebs/,4.5,$10.99,$194.99,94%,3
Mohammed Rashid,https://www.udemy.com/user/mohammed-rashid-25/,SAP FICO Freelancer,,https://www.diligenttechies.in/,,,,,,,udemy,SAP FICO- APP-DMEE From Scratch to Advance,https://www.udemy.com/course/sap_app_dmee/,4.2,$11.39,$194.99,94%,3
Uplatz Training,https://www.udemy.com/user/uplatz/,Fastest growing Global IT Training Provider,,https://training.uplatz.com/,https://www.facebook.com/UplatzGlobal/,https://twitter.com/Uplatz_Global,,https://linkedin.com/company/uplatz/,https://www.youtube.com/channel/UCmV-T7lTMIf1pIWqo2yKMQw,,udemy,SAP FICO (Finance and Controlling) Training,https://www.udemy.com/course/sap-fico-finance-and-controlling-training/,4.2,$11.99,$49.99,76%,24.5
